Build No.,Project Code,Serial No.,Build Letter,Customer,Date,Gbox/Diff,Pass/Fail,Tested by,Mass
522-021F-D,522,021,D,X-raid,13/10/2014,Diff - Front,FAIL,DJF,53.95
522-037R-B,522,037,B,X-raid,13/10/2014,Diff - Rear,FAIL,DJF,54.05
522-044R-B,522,044,B,X-raid,13/10/2014,Diff - Rear,FAIL,DJF,53.95
522-030R-C,522,030,C,X-raid,13/10/2014,Diff - Rear,FAIL,DJF,54.05
1529-002-D,1529A,002,D,Mclaren,13/10/2014,Gearbox,FAIL,DJF,53.95
633C-035-A,633C,035,A,Prodrive,14/10/2014,Gearbox,PASS,DJF,37
1529-003-C,1529B,003,C,Lamborghini,14/10/2014,Gearbox,PASS,DJF,58
1007-080C-A,1007,080,A,Pagani,15/10/2014,Gearbox,PASS,PS,108.65
1007-079C-A,1007,079,A,Pagani,15/10/2014,Gearbox,PASS,PS,109.05
522-020R-E,522,020,E,X-raid,15/10/2014,Diff - Rear,PASS,PS,54.05
522-002F-M,522,002,M,X-raid,16/10/2014,Diff - Front,FAIL,PS,53.55
1529-012-A,1529A,012,A,Mclaren Gt,16/10/2014,Gearbox,PASS,PS,56.95
1529-011-A,1529A,011,A,Mclaren Gt,16/10/2014,Gearbox,PASS,PS,56.95
1529-012-B,1529A,012,B,Mclaren Gt,16/10/2014,Gearbox,PASS,PS,56.95
1529-013-A,1529A,013,A,Mclaren Gt,17/10/2014,Gearbox,PASS,PS,56.9
1529-014-A,1529A,014,A,Mclaren Gt,17/10/2014,Gearbox,PASS,DJF,56.9
1529-003-E,1529B,003,E,Lamborghini,20/10/2014,Gearbox,PASS,DJF,63.05
1080-028-A,1080,028,A,Pro Motorsport,20/10/2014,Gearbox,PASS,DJF,29.25
626-075-A,626,075,A,OAK,21/10/2014,Gearbox,PASS,PS,62
626-076-A,626,076,A,OAK,21/10/2014,Gearbox,PASS,PS,62
1529-001-B,1529A,001,B,Mclaren Gt,22/10/2014,Gearbox,PASS,PS,57.25
1529-015-A,1529B,015,A,Lamborghini,23/10/2014,Gearbox,PASS,PS,63
522-024R-C,522,024,C,X-raid,24/10/2014,Diff - Rear,PASS,PS,54
1529-016-A,1529B,016,A,Lamborghini,24/10/2014,Gearbox,FAIL,PS,62.45
1529-017-A,1529B,017,A,Lamborghini,24/10/2014,Gearbox,FAIL,PS,63
1529-018-A,1529B,018,A,Lamborghini,24/10/2014,Gearbox,FAIL,PS,63.1
283-010-D,283,010,D,Solution F,24/10/2014,Gearbox,FAIL,PS,74.8
1529-005-B,1529A,005,B,Mclaren Gt,24/10/2014,Gearbox,FAIL,PS,58.85
1007-062A-B,1007,062,B,Pagani,24/10/2014,Gearbox,PASS,PS,109.35
522-029R-D,522,029,D,X-raid,27/10/2014,Diff - Rear,PASS,PS,54
522-028R-F,522,028,F,X-raid,27/10/2014,Diff - Rear,PASS,PS,54.1
522-028R-E,522,028,E,X-raid,27/10/2014,Diff - Rear,PASS,PS,54.1
1059F-030-A,1059F,030,A,Wirth,28/10/2014,Gearbox,PASS,DJF,78.45
522-021R-D,522,021,D,X-raid,28/10/2014,Diff - Rear,FAIL,DJF,53.95
522-039F-D,522,039,D,X-raid,29/10/2014,Diff - Front,FAIL,DJF,53.95
522-029F-D,522,029,D,X-raid,29/10/2014,Diff - Front,FAIL,DJF,53.8
1529-007-B,1529A,007,B,Mclaren,29/10/2014,Gearbox,PASS,DJF,57.2
1529-006-B,1529A,006,B,Mclaren,29/10/2014,Gearbox,PASS,DJF,62.05
522-039F-B,522,039,B,X-raid,30/10/2014,Diff - Front,FAIL,DJF,53.9
1529-019-A,1529A,019,A,Mclaren Gt,31/10/2014,Gearbox,PASS,PS,57.2
1529-002-E,1529A,002,E,Mclaren Gt,31/10/2014,Gearbox,PASS,PS,57
1529-020-A,1529A,020,A,Mclaren Gt,31/10/2014,Gearbox,PASS,DJF,57.2
522-037F-B,522,037,B,X-raid,01/11/2014,Diff - Front,PASS,PS,53.7
1202-002R-A,1202,002,A,Skoda,04/11/2014,Diff,PASS,AMC,36.05
1202-002-A,1202,002,A,Skoda,05/11/2014,Gearbox,PASS,AMC,57.7
223E-025R-B,223E,025,B,BMW,05/11/2014,Diff,FAIL,DJF,37.95
522-025R-D,522,025,D,X-raid,05/11/2014,Diff - Rear,PASS,DJF,54
1202-001R-A,1202,001,A,Skoda,06/11/2014,Diff,PASS,AMC,37.15
1202-001-A,1202,001,A,Skoda,06/11/2014,Gearbox,PASS,AMC,57
522-031F-C,522,031,C,X-raid,10/11/2014,Diff - Front,PASS,PS,53.95
522-003R-H,522,003,H,X-raid,10/11/2014,Diff - Rear,PASS,DJF,54.5
522-012F-D,522,012,D,X-raid,10/11/2014,Diff - Front,PASS,DJF,54.1
1202-003R-A,1202,003,A,Skoda,10/11/2014,Diff,FAIL,AMC,36.1
522-002R-K,522,002,K,X-raid,11/11/2014,Diff - Rear,PASS,DJF,54.6
522-031R-C,522,031,C,X-raid,11/11/2014,Diff - Rear,PASS,DJF,54.1
522-032R-F,522,032,F,X-raid,11/11/2014,Diff - Rear,PASS,DJF,54.2
522-017F-H,522,017,H,X-raid,11/11/2014,Diff - Front,PASS,DJF,53.95
522-023F-J,522,023,J,X-raid,12/11/2014,Diff - Front,FAIL,DJF,54.15
369-010-C,369,010,C,V8 Racing,12/11/2014,Gearbox,FAIL,DJF,77.25
1202-004R-A,1202,004,A,Skoda,13/11/2014,Diff,FAIL,AMC,36.1
522-054F-A,522,054,A,X-raid,13/11/2014,Diff - Front,PASS,PS,53.9
633C-033-B,633C,033,B,Prodrive,13/11/2014,Gearbox,FAIL,DJF,54.95
1529-025-A,1529B,025,A,Lamborghini,13/11/2014,Gearbox,PASS,PS,62.25
1529-023-A,1529B,023,A,Lamborghini,13/11/2014,Gearbox,PASS,PS,62.45
1202-003-A,1202,003,A,Skoda,14/11/2014,Gearbox,PASS,AMC,57.7
522-006R-J,522,006,J,X-raid,14/11/2014,Diff - Rear,PASS,DJF,54.1
1202-004-A,1202,004,A,Skoda,14/11/2014,Gearbox,PASS,AMC,57.7
522-044F-B,522,044,B,X-raid,14/11/2014,Diff - Front,PASS,DJF,53.65
1529-024-A,1529B,024,A,Lamborghini,19/11/2014,Gearbox,FAIL,PS,62.2
1529-026-A,1529B,026,A,Lamborghini,19/11/2014,Gearbox,FAIL,PS,62.3
1529-033-A.,1529B,033,A,Lamborghini,21/11/2014,Gearbox,PASS,DJF,62.45
1529-034-A,1529B,034,A,Lamborghini,21/11/2014,Gearbox,FAIL,DJF,62.45
1529-032-A.,1529B,032,A,Lamborghini,21/11/2014,Gearbox,FAIL,DJF,62.4
1529-031-A.,1529B,031,A,Lamborghini,21/11/2014,Gearbox,FAIL,DJF,62.4
1529-021-A,1529A,021,A,Mclaren,24/11/2014,Gearbox,PASS,DJF,57.2
1046-088-A,1046,088,A,LADA,25/11/2014,Gearbox,PASS,DJF,35.85
1046-090-A,1046,090,A,LADA,25/11/2014,Gearbox,PASS,DJF,35.85
1046-089-A,1046,089,A,LADA,25/11/2014,Gearbox,FAIL,DJF,35.85
1529-001-C,1529A,001,C,Mclaren Gt,26/11/2014,Gearbox,PASS,DJF,56.6
1529-008-C,1529B,008,C,Lamborghini,27/11/2014,Gearbox,PASS,DJF,62.35
1529-027-A,1529A,027,A,Mclaren Gt,27/11/2014,Gearbox,PASS,DJF,57.2
1529-028-A,1529A,028,A,Mclaren Gt,27/11/2014,Gearbox,PASS,DJF,57.15
1529-022-A,1529A,022,A,Mclaren Gt,28/11/2014,Gearbox,PASS,PS,58.3
1106D-005R-A,1106D,005,A,VW,28/11/2014,Diff,FAIL,PS,21.7
1106D-004R-A,1106D,004,A,VW,28/11/2014,Diff,FAIL,PS,21.65
529L-024-E,529L,024,E,Pagani,01/12/2014,Gearbox,FAIL,PS,65.65
1529-002-G,1529A,002,G,Mclaren Gt,01/12/2014,Gearbox,FAIL,PS,57.35
1007-081C-A,1007,081,A,Pagani,01/12/2014,Gearbox,PASS,DJF,108.85
1200-003-A,1200,003,A,Nissan,02/12/2014,Gearbox,PASS,TO,N/A
1007-082C-A,1007,082,A,Pagani,02/12/2014,Gearbox,PASS,DJF,108.7
1106D-006R-A,1106D,006,A,VW,02/12/2014,Diff,PASS,PS,21.85
1106D-007R-A,1106D,007,A,VW,02/12/2014,Diff,FAIL,PS,21.7
1529-001-D,1529A,001,D,Mclaren Gt,03/12/2014,Gearbox,PASS,DJF,57.2
1529-029-A,1529A,029,A,Mclaren Gt,03/12/2014,Gearbox,PASS,DJF,57.2
1529-030-A,1529A,030,A,Mclaren Gt,03/12/2014,Gearbox,PASS,DJF,57.2
1007-083C-A,1007,083,A,Pagani,04/12/2014,Gearbox,PASS,PS,108.8
1106C-006-A,1106C,006,A,VW,05/12/2014,Gearbox,FAIL,PS,48.2
1007-084C-A,1007,084,A,Pagani,06/12/2014,Gearbox,PASS,PS,108.55
1529-035-A,1529A,035,A,Mclaren Gt,10/12/2014,Gearbox,PASS,PS,57.35
1529-036-A,1529A,036,A,Mclaren Gt,10/12/2014,Gearbox,PASS,PS,57.25
1529-037-A,1529A,037,A,Mclaren Gt,11/12/2014,Gearbox,PASS,PS,57.3
1106D-008R-A,1106D,008,A,VW,11/12/2014,Diff,FAIL,PS,21.7
1106D-009R-A,1106D,009,A,VW,11/12/2014,Diff,FAIL,PS,21.7
1007-085C-A,1007,085,A,Pagani,11/12/2014,Gearbox,PASS,PS,108.95
1206-001-A,1206,001,A,Toyota,12/12/2014,Gearbox,PASS,TO,67.85
1106C-007-A,1106C,007,A,VW,13/12/2014,Gearbox,FAIL,PS,48.1
1202-002-B,1202,002,B,Skoda,15/12/2014,Gearbox,PASS,PS,57.75
1106C-008-A,1106C,008,A,VW,15/12/2014,Gearbox,PASS,PS,48.05
1202-001R-B,1202,001,B,Skoda,15/12/2014,Diff,FAIL,PS,36.4
1200-004-A,1200,004,A,Nissan,16/12/2014,Gearbox,PASS,TO,94.15
1106C-009-A,1106C,009,A,VW,16/12/2014,Gearbox,FAIL,PS,48.05
600-045-D,600,045,D,Motorbase,16/12/2014,Gearbox,PASS,PS,69.05
1059F-032-A,1059F,032,A,Wirth,17/12/2014,Gearbox,PASS,PS,78.5
1059F-031-A,1059F,031,A,Wirth,17/12/2014,Gearbox,PASS,PS,79.1
559E-015-A,559E,015,A,BMW,17/12/2014,Gearbox,FAIL,PS,37.5
559E-016-A,559E,016,A,BMW,17/12/2014,Gearbox,FAIL,PS,37.5
633N-002R-A,633N,002,A,M-sport,18/12/2014,Diff,PASS,PS,37.5
633C-037-B,633C,037,B,Prodrive,18/12/2014,Gearbox,PASS,PS,55.5
633N-002-A,633N,002,A,M-sport,18/12/2014,Gearbox,FAIL,PS,61.05
1206-002-A,1206,002,A,TMG,19/12/2014,Gearbox,PASS,TO,67.85
1529-039-A,1529B,039,A,Lamborghini,19/12/2014,Gearbox,PASS,AMC,62.4
1059F-033-A,1059F,033,A,Wirth,22/12/2014,Gearbox,PASS,PS,78.3
1106D-011R-A,1106D,011,A,VW,22/12/2014,Diff,FAIL,PS,21.7
1106D-010R-A,1106D,010,A,VW,22/12/2014,Diff,FAIL,PS,21.75
600-056-A,600,056,A,NOVA,22/12/2014,Gearbox,FAIL,PS,68.7
1529-041-A,1529B,041,A,Lamborghini,23/12/2014,Gearbox,PASS,PS,62.65
1153-008R-A,1153,008,A,Pro Motorsport,23/12/2014,Diff,FAIL,PS,24.1
1080-030-A,1080,030,A,Toca Stock,23/12/2014,Gearbox,FAIL,PS,24.1
1080-029-A,1080,029,A,Pro Motorsport,23/12/2014,Gearbox,FAIL,PS,28.95
1529-042-A,1529B,042,A,Lamborghini,05/01/2015,Gearbox,FAIL,PS,62.3
1529-040-A,1529B,040,A,Lamborghini,05/01/2015,Gearbox,FAIL,PS,62.45
1206-003-A,1206,003,A,TMG,05/01/2015,Gearbox,PASS,TO,67.65
1046-092-A,1046,092,A,Lada Sport,06/01/2015,Gearbox,PASS,DJF,35.55
1046-091-A,1046,091,A,Lada Sport,06/01/2015,Gearbox,PASS,DJF,35.55
1046-093-A,1046,093,A,Lada Sport,07/01/2015,Gearbox,PASS,DJF,35.55
1106C-010-A,1106C,010,A,VW,08/01/2015,Gearbox,PASS,PS,48.1
1200-005-A,1200,005,A,Nissan,09/01/2015,Gearbox,PASS,DJF,90.1
1106C-011-A,1106C,011,A,VW,09/01/2015,Gearbox,PASS,PS,48.15
633N-003R-A,633N,003,A,M Sport,09/01/2015,Diff,PASS,DJF,37.55
633N-003-A,633N,003,A,M Sport,12/01/2015,Gearbox,FAIL,PS,60.8
1059E-026-C,1059E,026,C,Strakka Dome,12/01/2015,Gearbox,PASS,PS,79.7
1059F-031-B,1059F,031,B,Wirth,12/01/2015,Gearbox,PASS,PS,78.75
1106D-012R-A,1106D,012,A,VW,12/01/2015,Diff,FAIL,DJF,21.75
1106D-013R-A,1106D,013,A,VW,12/01/2015,Diff,FAIL,DJF,21.75
600-006-B,600,006,B,Motorbase,15/01/2015,Gearbox,PASS,DJF,68.95
529R-006-B,529R,006,B,Bentley,16/01/2015,Gearbox,PASS,PS,57.5
1529-047-A,1529A,047,A,Mclaren Gt,16/01/2015,Gearbox,FAIL,PS,57.3
1529-049-B,1529A,049,B,Mclaren Gt,16/01/2015,Gearbox,PASS,PS,57.3
1529-049-A,1529A,049,A,Mclaren Gt,16/01/2015,Gearbox,PASS,PS,57.3
1529-050-A,1529A,050,A,Mclaren Gt,16/01/2015,Gearbox,FAIL,PS,57.2
1206-004-A,1206,004,A,TMG,19/01/2015,Gearbox,PASS,PS,68.95
633N-003R-A,633N,003,A,M-sport,20/01/2015,Diff,PASS,PS,37.5
1106C-012-A,1106C,012,A,VW,20/01/2015,Gearbox,PASS,PS,48.05
633N-003R-C,633N,003,C,M-sport,20/01/2015,Diff,FAIL,DJF,37.5
633N-002R-D,633N,002,D,M-sport,20/01/2015,Diff,FAIL,DJF,37.55
1106C-013-A,1106C,013,A,VW,21/01/2015,Gearbox,PASS,DJF,48.05
1529-048-A,1529A,048,A,Mclaren Gt,21/01/2015,Gearbox,FAIL,PS,57.4
1059E-026-D,1059E,026,D,Strakka,21/01/2015,Gearbox,FAIL,DJF,80
1007-086C-A,1007,086,A,Pagani,22/01/2015,Gearbox,PASS,PS,108.95
1007-062A-C,1007,062,C,Pagani,22/01/2015,Gearbox,PASS,PS,109.05
1529-043-A,1529B,043,A,Lamborghini,23/01/2015,Gearbox,FAIL,PS,62.5
1529-044-A,1529B,044,A,Lamborghini,23/01/2015,Gearbox,FAIL,PS,62.5
1529-046-A,1529B,046,A,Lamboghini,23/01/2015,Gearbox,FAIL,PS,62.5
1529-045-A,1529B,045,A,Lamborghini,23/01/2015,Gearbox,FAIL,PS,62.4
1529-007-C,1529A,007,C,Mclaren Gt,23/01/2015,Gearbox,FAIL,DJF,57.35
1046-059-B,1046,059,B,JAS,23/01/2015,Gearbox,PASS,PS,35.85
1529-038-A,1529A,038,A,Mclaren Gt,23/01/2015,Gearbox,FAIL,DJF,57.35
223E-073R-A,223E,073,A,BMW,26/01/2015,Diff,PASS,PS,37.75
223E-076R-A,223E,076,A,BMW,26/01/2015,Diff,PASS,DJF,37.75
223E-074R-A,223E,074,A,BMW,26/01/2015,Diff,PASS,DJF,37.75
529P-072-A,529P,072,A,Pratt&miller,27/01/2015,Gearbox,PASS,DJF,61.35
529P-071-A,529P,071,A,Pratt&miller,27/01/2015,Gearbox,PASS,DJF,61.35
600-057-A,600,057,A,TRD,28/01/2015,Gearbox,FAIL,PS,68.65
633N-003-C,633N,003,C,M-sport,28/01/2015,Gearbox,FAIL,DJF,60.8
1529-011-B,1529A,011,B,Mclaren Gt,28/01/2015,Gearbox,PASS,DJF,57.4
1106C-014-A,1106C,014,A,VW,28/01/2015,Gearbox,PASS,PS,48.15
223E-073R-A,223E,073,A,BMW,28/01/2015,Diff,PASS,DJF,37.75
223E-076R-B,223E,076,B,BMW,29/01/2015,Diff,PASS,DJF,37.75
223E-075R-A,223E,075,A,BMW,29/01/2015,Diff,PASS,DJF,37.75
1529-006-B,1529A,006,B,Mclaren Gt,29/01/2015,Gearbox,PASS,DJF,57.45
1529-006-C,1529A,006,C,Mclaren Gt,29/01/2015,Gearbox,PASS,DJF,57.45
1529-005-B,1529A,005,B,Mclaren Gt,29/01/2015,Gearbox,FAIL,DJF,57.45
1202B-002R-A,1202B,002,A,Skoda,30/01/2015,Diff,PASS,PS,36.2
559E-017-A,559E,017,A,BMW,30/01/2015,Gearbox,PASS,PS,37.35
1202B-002-A,1202B,002,A,Skoda,30/01/2015,Gearbox,PASS,PS,56.65
1202B-001-A,1202B,001,A,Skoda,30/01/2015,Gearbox,PASS,PS,56.65
1202B-001R-A,1202B,001,A,Skoda,30/01/2015,Diff,FAIL,PS,36.2
559E-018-A,559E,018,A,BMW,30/01/2015,Gearbox,FAIL,PS,37.35
1106D-015R-A,1106D,015,A,VW,31/01/2015,Diff,FAIL,PS,21.7
633N-002R-C,633N,002,C,M-sport,02/02/2015,Diff,FAIL,DJF,37.9
1106C-015-A,1106C,015,A,VW,02/02/2015,Gearbox,PASS,PS,48.1
1106D-014R-A,1106D,014,A,VW,02/02/2015,Diff,PASS,DJF,21.7
529P-073-A,529P,073,A,Pratt & Miller,03/02/2015,Gearbox,PASS,PS,61.3
600-028-B,600,028,B,Motorbase,04/02/2015,Gearbox,FAIL,DJF,69.7
1046-002-B,1046,002,B,Speedworks,05/02/2015,Gearbox,PASS,DJF,34.6
633N-005R-A,633N,005,A,M-sport,05/02/2015,Diff,FAIL,PS,37.4
633N-004R-A,633N,004,A,M-sport,05/02/2015,Diff,FAIL,PS,37.4
1046-094-A,1046,094,A,RML,06/02/2015,Gearbox,PASS,PS,35.9
1529-019-B,1529A,019,B,Mclaren Gt,06/02/2015,Gearbox,PASS,DJF,57.4
1529-012-B,1529A,012,B,Mclaren Gt,06/02/2015,Gearbox,FAIL,DJF,57.4
633N-004-A,633N,004,A,M-sport,06/02/2015,Gearbox,FAIL,DJF,61.15
633N-005-A,633N,005,A,M-sport,06/02/2015,Gearbox,FAIL,DJF,61.15
1113-002-B,1113,002,B,Gusto,06/02/2015,Gearbox,PASS,DJF,61.15
633N-006-A,633N,006,A,M-sport,06/02/2015,Gearbox,FAIL,DJF,60.95
1529-005-D,1529A,005,D,Mclaren Gt,09/02/2015,Gearbox,PASS,DJF,57.45
1529-051-B,1529A,051,B,Mclaren Gt,09/02/2015,Gearbox,PASS,DJF,57.45
1007-022A-B,1007,022,B,Pagani,10/02/2015,Gearbox,PASS,PS,107.75
1106D-016R-A,1106D,016,A,VW,11/02/2015,Diff,FAIL,PS,21.7
1106D-017R-A,1106D,017,A,VW,11/02/2015,Diff,FAIL,PS,21.7
633N-006R-A,633N,006,A,M-sport,12/02/2015,Diff,FAIL,PS,37.45
1106C-017-A,1106C,017,A,VW,12/02/2015,Gearbox,PASS,DJF,48.1
1106C-016-A,1106C,016,A,VW,12/02/2015,Gearbox,PASS,DJF,48.1
626-035-D,626,035,D,Morand,13/02/2015,Gearbox,FAIL,DJF,63.25
626-054-C,626,054,C,OAK,16/02/2015,Gearbox,PASS,DJF,63.1
1206-006-A,1206,006,A,TMG,17/02/2015,Gearbox,PASS,TO,69.35
1106D-018R-A,1106D,018,A,VW,17/02/2015,Diff,FAIL,DJF,21.65
1200-007-C,1200,007,C,Nissan,18/02/2015,Gearbox,PASS,TO,91.05
1529-040-B,1529B,040,B,Lamborghini,19/02/2015,Gearbox,PASS,DJF,62.5
1529-012-C,1529A,012,C,Mclaren Gt,19/02/2015,Gearbox,PASS,DJF,57.5
1529-005-E,1529A,005,E,Mclaren Gt,19/02/2015,Gearbox,FAIL,DJF,57.5
1529-019-C,1529A,019,C,Mclaren Gt,19/02/2015,Gearbox,PASS,DJF,57.5
1529-051-A,1529A,051,A,Mclaren,19/02/2015,Gearbox,#N/A,DJF,57.4
1046-097-A,1046,097,A,Gusto,19/02/2015,Gearbox,PASS,DJF,35.8
1046-095-A,1046,095,A,Gusto,19/02/2015,Gearbox,PASS,DJF,36
1046-096-A,1046,096,A,Gusto,19/02/2015,Gearbox,PASS,DJF,35.95
1046-098-A,1046,098,A,Gusto,19/02/2015,Gearbox,PASS,DJF,35.75
1529-055-A,1529B,055,A,Lamborghini,19/02/2015,Gearbox,PASS,DJF,62.25
1529-053-A,1529B,053,A,Lamborghini,19/02/2015,Gearbox,FAIL,DJF,62.25
1159C-006-A,1159C,006,A,Oreca,19/02/2015,Gearbox,PASS,DJF,64.2
529U-074-A,529U,074,A,Emil Frey,23/02/2015,Gearbox,PASS,PS,56.9
1206-005-A,1206,005,A,TMG,23/02/2015,Gearbox,PASS,TO,69.15
1529-052-A,1529B,052,A,Lamborghini,23/02/2015,Gearbox,PASS,PS,62.45
1529-054-A,1529B,054,A,Lamborghini,23/02/2015,Gearbox,FAIL,PS,62.5
1007-022A-C,1007,022,C,Pagani,24/02/2015,Gearbox,PASS,DJF,107.9
1007-001C-C,1007,001,C,Pagani,24/02/2015,Gearbox,PASS,DJF,103.9
633N-008R-B,633N,008,B,M-sport,25/02/2015,Diff,FAIL,DJF,37.4
633N-007R-B,633N,007,B,M-sport,25/02/2015,Diff,FAIL,DJF,37.4
1159C-007-A,1159C,007,A,Oreca,26/02/2015,Gearbox,PASS,DJF,64.15
1529-058-A,1529B,058,A,Lamborghini,27/02/2015,Gearbox,PASS,DJF,62.45
1529-056-A.,1529B,056,A,Lamborghini,27/02/2015,Gearbox,PASS,DJF,62.45
529U-075-A,529U,075,A,Emil Frey,27/02/2015,Gearbox,PASS,PS,56.9
1529-059-A,1529B,059,A,Lamborghini,27/02/2015,Gearbox,PASS,PS,62.7
1529-057-A,1529B,057,A,Lamborghini,27/02/2015,Gearbox,FAIL,PS,62.5
626-077-A,626,077,A,OAK,02/03/2015,Gearbox,PASS,PS,62.45
1206-007-A,1206,007,A,TMG,02/03/2015,Gearbox,PASS,TO,69.3
633N-007-A,633N,007,A,M-sport,02/03/2015,Gearbox,FAIL,DJF,61.15
633N-008-A,633N,008,A,M-sport,02/03/2015,Gearbox,FAIL,DJF,61.15
1106D-019R-A,1106D,019,A,VW,04/03/2015,Diff,PASS,DJF,21.7
1092B-005-A,1092B,005,A,Williams,05/03/2015,Gearbox,Pass,DJF,50.15
1206-007-B,1206,007,B,TMG,05/03/2015,Gearbox,PASS,DJF,69.15
1529-060-A,1529B,060,A,Lamborghini,06/03/2015,Gearbox,PASS,DJF,62.55
1529-061-A,1529B,061,A,Lamborghini,06/03/2015,Gearbox,PASS,DJF,62.55
1529-062-A,1529B,062,A,Lamborghini,06/03/2015,Gearbox,PASS,DJF,62.55
1529-063-A,1529B,063,A,Lamborghini,06/03/2015,Gearbox,PASS,DJF,62.55
1529-067-A,1529B,067,A,Lamborghini,06/03/2015,Gearbox,FAIL,DJF,62.55
1529-066-A,1529B,066,A,Lamborghini,06/03/2015,Gearbox,FAIL,DJF,62.55
